"person_id","person_type","crash_record_id","rd_no","vehicle_id","crash_date","seat_no","city","state","zipcode","sex","age","drivers_license_state","drivers_license_class","safety_equipment","airbag_deployed","ejection","injury_classification","hospital","ems_agency","ems_run_no","driver_action","driver_vision","physical_condition","pedpedal_action","pedpedal_visibility","pedpedal_location","bac_result","bac_result_value","cell_phone_use"
"O1303445","DRIVER","1fa40718120490364a11a5356346a7ccd5955f266f0eb96af4cdfb904c500e516a712e180d9e84d6a2a6a907a1520d6dc37b805e81fb93940b8651dfb03f66da",,"1237851","2022-03-22T20:20:00.000",,,,,"X",,,,"USAGE UNKNOWN","DEPLOYMENT UNKNOWN","UNKNOWN","NO INDICATION OF INJURY",,,,"FOLLOWED TOO CLOSELY","UNKNOWN","UNKNOWN",,,,"TEST NOT OFFERED",,
"O1303446","DRIVER","1fa40718120490364a11a5356346a7ccd5955f266f0eb96af4cdfb904c500e516a712e180d9e84d6a2a6a907a1520d6dc37b805e81fb93940b8651dfb03f66da",,"1237855","2022-03-22T20:20:00.000",,"CHICAGO","IL","60651","M","25","IL",,"SAFETY BELT USED","NOT APPLICABLE","NONE","NO INDICATION OF INJURY",,,,"NONE","NOT OBSCURED","NORMAL",,,,"TEST NOT OFFERED",,
"P290139","PASSENGER","1fa40718120490364a11a5356346a7ccd5955f266f0eb96af4cdfb904c500e516a712e180d9e84d6a2a6a907a1520d6dc37b805e81fb93940b8651dfb03f66da",,"1237855","2022-03-22T20:20:00.000","3",,"IL",,"F","33",,,"SAFETY BELT USED","NOT APPLICABLE","NONE","NO INDICATION OF INJURY",,,,,,,,,,,,
"P290140","PASSENGER","1fa40718120490364a11a5356346a7ccd5955f266f0eb96af4cdfb904c500e516a712e180d9e84d6a2a6a907a1520d6dc37b805e81fb93940b8651dfb03f66da",,"1237855","2022-03-22T20:20:00.000","6",,"IL",,"F","3",,,"SAFETY BELT USED","NOT APPLICABLE","NONE","NO INDICATION OF INJURY",,,,,,,,,,,,
"O1303527","DRIVER","2d065845feadc8b34523aa9094f5e949ca7cf9589bc52cf4ed3eab09494282334153f8c84204dc2906e896d1755b0deef5a4f11e373cf3ae7fe43a38251005f7",,"1237934","2022-03-22T20:18:00.000",,"CHICAGO","IL","60629","M","39","IL","D","NONE PRESENT","NOT APPLICABLE","NONE","NO INDICATION OF INJURY",,,,"FAILED TO YIELD","MOVING VEHICLES","NORMAL",,,,"TEST TAKEN","0",
"O1303441","DRIVER","ebb2ef0944b18d0d28c167c39babb41860cfd99edba0adf7e0063c583e28dca8d63fd371493bafc9153ff9deac2185b5b565db0befa2cf9565884e96ef281da4",,"1237850","2022-03-22T20:00:00.000",,,,,"X",,,,"USAGE UNKNOWN","DEPLOYMENT UNKNOWN","NONE","NO INDICATION OF INJURY","N/A","N/A",,"TOO FAST FOR CONDITIONS","UNKNOWN","UNKNOWN",,,,"TEST NOT OFFERED",,
"O1303442","DRIVER","ebb2ef0944b18d0d28c167c39babb41860cfd99edba0adf7e0063c583e28dca8d63fd371493bafc9153ff9deac2185b5b565db0befa2cf9565884e96ef281da4",,"1237856","2022-03-22T20:00:00.000",,"CHICAGO","IL","60453","M","33","IL","A","USAGE UNKNOWN","NOT APPLICABLE","NONE","NO INDICATION OF INJURY","N/A","N/A",,"NONE","NOT OBSCURED","NORMAL",,,,"TEST NOT OFFERED",,
"O1303437","DRIVER","60483506a017522016f02d92cd4c1d7a3337f93bb54dd331af88954ff5369e3516e48d592d0da471b11f85906a16e15c88930f338ca4dbabf325e1d5adb67e71",,"1237849","2022-03-22T19:45:00.000",,,,,"F",,,,"USAGE UNKNOWN","DEPLOYMENT UNKNOWN","NONE","NO INDICATION OF INJURY",,,,"IMPROPER LANE CHANGE","UNKNOWN","UNKNOWN",,,,"TEST NOT OFFERED",,
"O1303438","DRIVER","60483506a017522016f02d92cd4c1d7a3337f93bb54dd331af88954ff5369e3516e48d592d0da471b11f85906a16e15c88930f338ca4dbabf325e1d5adb67e71",,"1237860","2022-03-22T19:45:00.000",,"VERNON HILLS","IL","60061","M","51","IL","D","SAFETY BELT USED","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY",,,,"UNKNOWN","UNKNOWN","UNKNOWN",,,,"TEST NOT OFFERED",,
"P290148","PASSENGER","60483506a017522016f02d92cd4c1d7a3337f93bb54dd331af88954ff5369e3516e48d592d0da471b11f85906a16e15c88930f338ca4dbabf325e1d5adb67e71",,"1237860","2022-03-22T19:45:00.000","6","CHICAGO","IL",,"F","17",,,"SAFETY BELT USED","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY",,,,,,,,,,,,
"O1303468","DRIVER","b7feeb918b4f2fcc3af33c22621da46c5918577cebb1144ad8e3c73c105a0f349a216af6847859e8b1e0c420e190f04f40e26d42073b0a6315a1adbe607da528",,"1237876","2022-03-22T19:24:00.000",,,,,"F",,,,"USAGE UNKNOWN","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY",,,,"OTHER","UNKNOWN","UNKNOWN",,,,"TEST NOT OFFERED",,
"O1303469","DRIVER","b7feeb918b4f2fcc3af33c22621da46c5918577cebb1144ad8e3c73c105a0f349a216af6847859e8b1e0c420e190f04f40e26d42073b0a6315a1adbe607da528",,"1237880","2022-03-22T19:24:00.000",,"ANN ARBOR","MI","48104","F","62","MI","O","USAGE UNKNOWN","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY",,,,"NONE","NOT OBSCURED","UNKNOWN",,,,"TEST NOT OFFERED",,
"P290149","PASSENGER","b7feeb918b4f2fcc3af33c22621da46c5918577cebb1144ad8e3c73c105a0f349a216af6847859e8b1e0c420e190f04f40e26d42073b0a6315a1adbe607da528",,"1237880","2022-03-22T19:24:00.000","3","ANN ARBOR","MI","48104","M","73",,,"USAGE UNKNOWN","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY",,,,,,,,,,,,
"O1303428","DRIVER","8b95bd955bda0cc9662cf4130d83b87bdfb118b415ce764c63d6d6493572e23f6e01d631912e71bb593caad7d3e028785e89c38be6d98234efa87ee85a7335fa",,"1237837","2022-03-22T19:15:00.000",,"CHICAGO","IL","60608","F","31","IL","D","SAFETY BELT USED","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY",,,,"OTHER","NOT OBSCURED","NORMAL",,,,"TEST NOT OFFERED",,
"O1303429","DRIVER","8b95bd955bda0cc9662cf4130d83b87bdfb118b415ce764c63d6d6493572e23f6e01d631912e71bb593caad7d3e028785e89c38be6d98234efa87ee85a7335fa",,"1237843","2022-03-22T19:15:00.000",,"CHICAGO","IL","60617","F","36","IL","D","SAFETY BELT USED","NOT APPLICABLE","NONE","NO INDICATION OF INJURY",,,,"NONE","NOT OBSCURED","NORMAL",,,,"TEST NOT OFFERED",,
"P290136","PASSENGER","8b95bd955bda0cc9662cf4130d83b87bdfb118b415ce764c63d6d6493572e23f6e01d631912e71bb593caad7d3e028785e89c38be6d98234efa87ee85a7335fa",,"1237843","2022-03-22T19:15:00.000","3","CHICAGO","IL","60617","F","14",,,"SAFETY BELT USED","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY",,,,,,,,,,,,
"P290137","PASSENGER","8b95bd955bda0cc9662cf4130d83b87bdfb118b415ce764c63d6d6493572e23f6e01d631912e71bb593caad7d3e028785e89c38be6d98234efa87ee85a7335fa",,"1237843","2022-03-22T19:15:00.000","4","CHICAGO","IL","606017","F","18",,,"SAFETY BELT USED","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY",,,,,,,,,,,,
"P290138","PASSENGER","8b95bd955bda0cc9662cf4130d83b87bdfb118b415ce764c63d6d6493572e23f6e01d631912e71bb593caad7d3e028785e89c38be6d98234efa87ee85a7335fa",,"1237843","2022-03-22T19:15:00.000","6",,"IL",,"M",,,,"SAFETY BELT USED","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY",,,,,,,,,,,,
"O1303408","DRIVER","2ac76d0e632dffd4caec420b7630062b56f56616e442119f3d80c6c21eaefd93879c91266f9866ace6b785c28b407b70c2bc5944115e5e37f487eb5ffab4e86e",,"1237816","2022-03-22T18:55:00.000",,,,,"M","28","IL",,"SAFETY BELT USED","NOT APPLICABLE","NONE","NO INDICATION OF INJURY","REFUSED",,,"IMPROPER TURN","UNKNOWN","NORMAL",,,,"TEST NOT OFFERED",,
"O1303409","DRIVER","2ac76d0e632dffd4caec420b7630062b56f56616e442119f3d80c6c21eaefd93879c91266f9866ace6b785c28b407b70c2bc5944115e5e37f487eb5ffab4e86e",,"1237820","2022-03-22T18:55:00.000",,,,,"M","36",,,"SAFETY BELT USED","NOT APPLICABLE","NONE","NO INDICATION OF INJURY","REFUSED",,,"FOLLOWED TOO CLOSELY","UNKNOWN","NORMAL",,,,"TEST NOT OFFERED",,
"O1303415","DRIVER","3aad444d678b1f1c5f5d3a7de2d6be7f27e5d6eab8981f1e59bb86c6ee297e3a04e9a421d8c5f694c419d4302563853af37fb937e3b61e2bd949b949642fd49b",,"1237824","2022-03-22T18:55:00.000",,"CHICAGO","IL","60629","M","24",,,"SAFETY BELT USED","NOT APPLICABLE","NONE","NO INDICATION OF INJURY",,,,"OTHER","NOT OBSCURED","NORMAL",,,,"TEST NOT OFFERED",,
"O1303416","DRIVER","3aad444d678b1f1c5f5d3a7de2d6be7f27e5d6eab8981f1e59bb86c6ee297e3a04e9a421d8c5f694c419d4302563853af37fb937e3b61e2bd949b949642fd49b",,"1237827","2022-03-22T18:55:00.000",,"CHICAGO","IL","60623","M","47","IL","A","SAFETY BELT USED","NOT APPLICABLE","NONE","NO INDICATION OF INJURY",,,,"NONE","NOT OBSCURED","NORMAL",,,,"TEST NOT OFFERED",,
"O1303431","DRIVER","9b6920563a6e6ffa2a65dfd9160dbb9f382dee9be7df8479ba3d123fc113d7fd0cfc3f6baed634406161acbc6346fe2e750604f57942e70d4817d9a031de691e",,"1237841","2022-03-22T18:55:00.000",,"CHICAGO","IL","60616","M","54","IL","D","USAGE UNKNOWN","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY","REFUSED","N/A",,"UNKNOWN","UNKNOWN","NORMAL",,,,"TEST NOT OFFERED",,
"O1303432","DRIVER","9b6920563a6e6ffa2a65dfd9160dbb9f382dee9be7df8479ba3d123fc113d7fd0cfc3f6baed634406161acbc6346fe2e750604f57942e70d4817d9a031de691e",,"1237844","2022-03-22T18:55:00.000",,"CHICAGO","IL","60652","F","25","IL","D","USAGE UNKNOWN","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY","REFUSED","N/A",,"UNKNOWN","UNKNOWN","NORMAL",,,,"TEST NOT OFFERED",,
"O1303412","DRIVER","db07cbb6914b0edcfda345268f128064f10c04bec69c849a578eaed93445f8707d4ca0c389055991816ea62a36e15363ab2103b74807eb4e358cbef41b586a7f",,"1237823","2022-03-22T18:48:00.000",,,,,"M",,,,"USAGE UNKNOWN","DEPLOYMENT UNKNOWN","UNKNOWN","NO INDICATION OF INJURY",,,,"UNKNOWN","UNKNOWN","UNKNOWN",,,,"TEST NOT OFFERED",,
"O1303413","DRIVER","db07cbb6914b0edcfda345268f128064f10c04bec69c849a578eaed93445f8707d4ca0c389055991816ea62a36e15363ab2103b74807eb4e358cbef41b586a7f",,"1237828","2022-03-22T18:48:00.000",,"CHICAGO","IL","60621","M","42","IL","D","USAGE UNKNOWN","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY",,,,"NONE","NOT OBSCURED","NORMAL",,,,"TEST NOT OFFERED",,
"P290132","PASSENGER","db07cbb6914b0edcfda345268f128064f10c04bec69c849a578eaed93445f8707d4ca0c389055991816ea62a36e15363ab2103b74807eb4e358cbef41b586a7f",,"1237828","2022-03-22T18:48:00.000","6","CHICAGO","IL","60609","F","33",,,"USAGE UNKNOWN","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY",,,,,,,,,,,,
"P290133","PASSENGER","db07cbb6914b0edcfda345268f128064f10c04bec69c849a578eaed93445f8707d4ca0c389055991816ea62a36e15363ab2103b74807eb4e358cbef41b586a7f",,"1237828","2022-03-22T18:48:00.000","5","CHICAGO","IL","60609","F",,,,"CHILD RESTRAINT - REAR FACING","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY",,,,,,,,,,,,
"P290134","PASSENGER","db07cbb6914b0edcfda345268f128064f10c04bec69c849a578eaed93445f8707d4ca0c389055991816ea62a36e15363ab2103b74807eb4e358cbef41b586a7f",,"1237828","2022-03-22T18:48:00.000","4","CHICAGO","IL","60609","F",,,,"CHILD RESTRAINT - REAR FACING","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY",,,,,,,,,,,,
"O1303418","DRIVER","474cae3c0712517f24813a7698782dbe096d3947fb712e227294812debaea97beed78600c4e7d7b8502d5eab23b8aa50c3d3c88360a58818757c590e41d70cd2",,"1237825","2022-03-22T18:30:00.000",,"CHICAGO","IL","60645","M","52","IL","D","USAGE UNKNOWN","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY",,,,"UNKNOWN","UNKNOWN","NORMAL",,,,"TEST NOT OFFERED",,
"O1303392","DRIVER","774553b1da57f7fb14d940c1f5ba136a61d01c1e5336bd16b8bc3ee5fe53a28a999687cef9b960b0886a5dc7e8d419760f30d1b9e21967d3c53ae7979dc337f6",,"1237794","2022-03-22T18:30:00.000",,"ORLAND HILLS","IL",,"M","25","IL",,"SAFETY BELT USED","NOT APPLICABLE","NONE","NO INDICATION OF INJURY",,,,"IMPROPER LANE CHANGE","NOT OBSCURED","NORMAL",,,,"TEST NOT OFFERED",,
"O1303393","DRIVER","774553b1da57f7fb14d940c1f5ba136a61d01c1e5336bd16b8bc3ee5fe53a28a999687cef9b960b0886a5dc7e8d419760f30d1b9e21967d3c53ae7979dc337f6",,"1237798","2022-03-22T18:30:00.000",,"FRANKLIN PARK","IL",,"M","29","IL",,"SAFETY BELT USED","NOT APPLICABLE","NONE","NO INDICATION OF INJURY",,,,"NONE","NOT OBSCURED","NORMAL",,,,"TEST NOT OFFERED",,
